COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AGUST,SETEMBER,OCTOBER,NOVEMBER,DESEMBER,JAN-DEC,YEAR
NEW ZEALANDER,0.0,180.0,430.0,904.0,988.0,1250.0,1768.0,1569.0,1834.0,1984.0,2264.0,4332.0,17503.0,2022
THAI,0.0,190.0,397.0,733.0,886.0,1340.0,2010.0,2035.0,1876.0,2383.0,2404.0,2046.0,16300.0,2022
ITALIAN,0.0,173.0,536.0,862.0,799.0,948.0,1450.0,1455.0,1046.0,1252.0,1792.0,2620.0,12933.0,2022
IRISH,0.0,116.0,754.0,874.0,816.0,1558.0,1531.0,995.0,905.0,1021.0,1188.0,2251.0,12009.0,2022
NORWEGIAN,0.0,257.0,580.0,737.0,608.0,1944.0,1979.0,804.0,811.0,1029.0,1177.0,2078.0,12004.0,2022
SWISS,0.0,167.0,608.0,1070.0,782.0,594.0,1489.0,708.0,886.0,1256.0,1431.0,2101.0,11092.0,2022
SAUDI ARABIAN,0.0,0.0,394.0,226.0,747.0,843.0,1762.0,1388.0,1321.0,1385.0,1636.0,712.0,10414.0,2022
ISRAELI,0.0,76.0,462.0,1093.0,696.0,517.0,762.0,719.0,1618.0,1127.0,1134.0,1507.0,9711.0,2022
SWEDISH,0.0,220.0,463.0,646.0,485.0,1045.0,833.0,537.0,649.0,904.0,1338.0,2269.0,9389.0,2022
BELGIAN,0.0,168.0,472.0,567.0,595.0,717.0,1574.0,823.0,806.0,918.0,1095.0,1226.0,8961.0,2022
HONG KONGER,0.0,129.0,0.0,219.0,241.0,334.0,426.0,470.0,680.0,1199.0,1898.0,2993.0,8589.0,2022
RUSSIAN,0.0,130.0,243.0,291.0,240.0,242.0,332.0,450.0,653.0,1426.0,2220.0,1813.0,8040.0,2022
AUSTRIAN,0.0,204.0,476.0,681.0,526.0,502.0,943.0,682.0,690.0,807.0,1097.0,1408.0,8016.0,2022
DANISH,0.0,185.0,398.0,594.0,497.0,682.0,776.0,591.0,606.0,902.0,1028.0,1103.0,7362.0,2022
TURKISH,0.0,90.0,228.0,381.0,285.0,312.0,588.0,700.0,786.0,862.0,1029.0,598.0,5859.0,2022
BURMESE,0.0,0.0,313.0,303.0,401.0,482.0,581.0,540.0,388.0,446.0,411.0,390.0,4255.0,2022
POLISH,0.0,52.0,256.0,323.0,263.0,179.0,280.0,330.0,341.0,461.0,1081.0,656.0,4222.0,2022
SOUTH AFRICAN,0.0,98.0,151.0,214.0,167.0,218.0,356.0,333.0,292.0,435.0,401.0,642.0,3307.0,2022
BRAZILIAN,0.0,62.0,98.0,164.0,171.0,160.0,259.0,321.0,337.0,386.0,502.0,550.0,3010.0,2022
GUAMANIAN,0.0,48.0,0.0,131.0,187.0,244.0,390.0,297.0,384.0,411.0,570.0,213.0,2875.0,2022
FINNISH,0.0,29.0,138.0,177.0,184.0,256.0,229.0,176.0,230.0,300.0,421.0,541.0,2681.0,2022
ROMANIAN,0.0,60.0,116.0,193.0,138.0,147.0,174.0,216.0,248.0,285.0,415.0,664.0,2656.0,2022
PORTUGUESE,0.0,0.0,98.0,221.0,134.0,131.0,240.0,221.0,216.0,274.0,529.0,431.0,2495.0,2022
BANGLADESHI,0.0,0.0,0.0,91.0,165.0,172.0,313.0,386.0,315.0,351.0,337.0,256.0,2386.0,2022
PAKISTANI,0.0,42.0,0.0,58.0,124.0,159.0,265.0,293.0,377.0,361.0,344.0,283.0,2306.0,2022
KUWAITI,0.0,25.0,123.0,81.0,152.0,279.0,280.0,314.0,208.0,198.0,211.0,237.0,2108.0,2022
EMIRATI,0.0,1.0,0.0,70.0,190.0,190.0,365.0,277.0,243.0,206.0,290.0,252.0,2084.0,2022
NEPALESE,0.0,25.0,89.0,101.0,106.0,158.0,223.0,289.0,240.0,282.0,242.0,261.0,2016.0,2022
CZECH,0.0,4.0,144.0,186.0,106.0,104.0,171.0,167.0,171.0,216.0,426.0,312.0,2007.0,2022
NIGERIAN,0.0,14.0,36.0,62.0,133.0,147.0,171.0,374.0,309.0,225.0,287.0,241.0,1999.0,2022
MONGOLIAN,0.0,16.0,37.0,46.0,82.0,239.0,273.0,116.0,160.0,166.0,185.0,677.0,1997.0,2022
BRUNEIAN,0.0,10.0,31.0,24.0,45.0,48.0,118.0,127.0,273.0,247.0,315.0,646.0,1884.0,2022
MEXICAN,0.0,31.0,60.0,112.0,120.0,120.0,182.0,183.0,235.0,282.0,295.0,223.0,1843.0,2022
* Overseas Filipinos,38980.0,34337.0,39351.0,40763.0,36195.0,41657.0,48385.0,33619.0,26046.0,28778.0,28036.0,50935.0,447082.0,2023
rSOUTH KOREA,127703.0,128131.0,108085.0,95351.0,99636.0,117739.0,141166.0,135951.0,114064.0,114135.0,117736.0,151161.0,1450858.0,2023
UNITED STATES OF AMERICA,87440.0,85917.0,80284.0,75830.0,71249.0,93597.0,85918.0,52452.0,50188.0,59420.0,66486.0,94518.0,903299.0,2023
JAPAN,15178.0,23013.0,26356.0,23655.0,21179.0,19676.0,27148.0,38929.0,27866.0,24674.0,28144.0,29762.0,305580.0,2023
AUSTRALIA,23731.0,20723.0,23715.0,26966.0,19054.0,19837.0,19007.0,15661.0,19833.0,18839.0,21200.0,37985.0,266551.0,2023
CHINA,9648.0,14904.0,19281.0,25076.0,18071.0,21818.0,33874.0,31656.0,25355.0,23728.0,21440.0,18985.0,263836.0,2023
CANADA,24660.0,23319.0,22287.0,20844.0,17242.0,12345.0,18462.0,13638.0,12252.0,15576.0,17983.0,23312.0,221920.0,2023
TAIWAN,18040.0,12991.0,13513.0,14603.0,11096.0,19622.0,23207.0,18777.0,15696.0,19083.0,14274.0,13949.0,194851.0,2023
UNITED KINGDOM,12886.0,12049.0,17831.0,15451.0,10611.0,9217.0,17802.0,11299.0,7550.0,10313.0,11503.0,18186.0,154698.0,2023
SINGAPORE,10020.0,11403.0,14433.0,13762.0,11602.0,14104.0,10616.0,10621.0,11701.0,11370.0,14904.0,14694.0,149230.0,2023
MALAYSIA,6994.0,8730.0,9461.0,8992.0,8003.0,7630.0,7947.0,7253.0,7488.0,7111.0,9382.0,8648.0,97639.0,2023
HONG KONG - SAR,9903.0,4658.0,6249.0,11729.0,5283.0,5369.0,5829.0,5398.0,5239.0,6887.0,6188.0,7780.0,80512.0,2023
GERMANY,7282.0,7775.0,10015.0,7513.0,4434.0,3325.0,4628.0,4520.0,3631.0,4878.0,6894.0,9836.0,74731.0,2023
INDIA,6490.0,5381.0,7027.0,6189.0,5296.0,5338.0,5987.0,5922.0,5553.0,5321.0,6268.0,5514.0,70286.0,2023
VIETNAM,4607.0,5674.0,6930.0,6527.0,6139.0,6981.0,6105.0,5295.0,4616.0,4778.0,5202.0,4807.0,67661.0,2023
INDONESIA,3814.0,5216.0,5128.0,5525.0,4131.0,4248.0,4244.0,3942.0,4460.0,4355.0,4707.0,3937.0,53707.0,2023
FRANCE,5904.0,7462.0,7273.0,5699.0,2814.0,1467.0,3632.0,2591.0,1959.0,3038.0,4633.0,5129.0,51601.0,2023
THAILAND,3182.0,3315.0,4136.0,4544.0,3075.0,3187.0,3603.0,2583.0,3033.0,3563.0,3618.0,3113.0,40952.0,2023
GUAM,2274.0,2449.0,3255.0,2714.0,2190.0,3959.0,3966.0,2151.0,2352.0,3093.0,3064.0,4034.0,35501.0,2023
SPAIN,2969.0,2634.0,3034.0,2691.0,1648.0,1729.0,3450.0,4132.0,2159.0,2511.0,3616.0,3490.0,34063.0,2023
UNITED ARAB EMIRATES,1102.0,2437.0,3748.0,3116.0,2304.0,2859.0,3053.0,2708.0,2867.0,3056.0,3026.0,3493.0,33769.0,2023
NETHERLANDS,3061.0,2814.0,3054.0,3237.0,2166.0,1519.0,3394.0,1900.0,1740.0,2291.0,3123.0,3657.0,31956.0,2023
NEW ZEALAND,2338.0,2028.0,2276.0,2714.0,2152.0,2430.0,2177.0,1688.0,1953.0,2105.0,2224.0,5187.0,29272.0,2023
SWITZERLAND,2201.0,2475.0,2660.0,2918.0,1291.0,922.0,2084.0,885.0,1165.0,1670.0,2279.0,3498.0,24048.0,2023
RUSSIA,3153.0,3752.0,2735.0,2030.0,1122.0,863.0,958.0,967.0,947.0,1595.0,2159.0,2823.0,23104.0,2023
ITALY,2274.0,2200.0,2059.0,1609.0,954.0,1251.0,1729.0,2287.0,1002.0,1311.0,1959.0,3861.0,22496.0,2023
NORWAY,1567.0,1716.0,1529.0,1209.0,773.0,3235.0,3508.0,843.0,843.0,1035.0,1311.0,2431.0,20000.0,2023
SAUDI ARABIA,1365.0,1968.0,1727.0,1819.0,1912.0,1784.0,1721.0,1375.0,1468.0,1441.0,1618.0,1113.0,19311.0,2023
SWEDEN,1887.0,1816.0,1753.0,1252.0,826.0,1617.0,1254.0,662.0,672.0,920.0,1437.0,2693.0,16789.0,2023
IRELAND,1317.0,1056.0,1325.0,1230.0,1087.0,2475.0,1896.0,1056.0,850.0,1052.0,1160.0,1875.0,16379.0,2023
BELGIUM,1221.0,1291.0,1353.0,1184.0,890.0,991.0,2273.0,827.0,778.0,1072.0,1203.0,1376.0,14459.0,2023
ISRAEL,1888.0,1637.0,1955.0,1355.0,836.0,697.0,1051.0,893.0,1325.0,635.0,470.0,592.0,13334.0,2023
AUSTRIA,1716.0,1462.0,1197.0,1071.0,735.0,738.0,1410.0,805.0,520.0,865.0,1040.0,1621.0,13180.0,2023
DENMARK,1450.0,1318.0,1307.0,1084.0,740.0,784.0,1056.0,462.0,661.0,940.0,1254.0,1238.0,12294.0,2023
QATAR,393.0,816.0,990.0,1220.0,716.0,916.0,841.0,754.0,895.0,1031.0,826.0,1040.0,10438.0,2023
TURKEY,824.0,1014.0,1103.0,832.0,617.0,758.0,629.0,643.0,687.0,765.0,1121.0,1033.0,10026.0,2023
POLAND,875.0,1263.0,1089.0,934.0,443.0,325.0,312.0,288.0,371.0,749.0,1919.0,1355.0,9923.0,2023
KUWAIT,413.0,715.0,613.0,704.0,608.0,776.0,565.0,618.0,426.0,451.0,410.0,616.0,6915.0,2023
BRUNEI,416.0,545.0,578.0,779.0,431.0,504.0,507.0,470.0,454.0,530.0,524.0,901.0,6639.0,2023
MYANMAR,358.0,309.0,355.0,441.0,585.0,526.0,608.0,542.0,677.0,656.0,809.0,529.0,6395.0,2023
PAPUA NEW GUINEA,381.0,400.0,410.0,465.0,443.0,619.0,536.0,448.0,733.0,573.0,603.0,632.0,6243.0,2023
BAHRAIN,231.0,453.0,427.0,416.0,416.0,489.0,547.0,523.0,605.0,633.0,567.0,579.0,5886.0,2023
CZECH REPUBLIC,629.0,885.0,818.0,482.0,226.0,174.0,278.0,214.0,257.0,491.0,727.0,631.0,5812.0,2023
MONGOLIA,972.0,765.0,493.0,260.0,228.0,465.0,315.0,207.0,206.0,185.0,195.0,374.0,4665.0,2023
MACAU - SAR,276.0,195.0,407.0,638.0,361.0,408.0,422.0,425.0,324.0,432.0,313.0,392.0,4593.0,2023
FINLAND,512.0,412.0,473.0,345.0,257.0,418.0,304.0,270.0,210.0,267.0,440.0,625.0,4533.0,2023
SOUTH AFRICA,406.0,321.0,374.0,538.0,283.0,310.0,371.0,286.0,349.0,314.0,377.0,596.0,4525.0,2023
BRAZIL,454.0,443.0,515.0,437.0,264.0,256.0,213.0,193.0,239.0,306.0,479.0,476.0,4275.0,2023
BANGLADESH,269.0,303.0,351.0,458.0,262.0,276.0,283.0,344.0,506.0,407.0,409.0,323.0,4191.0,2023
PORTUGAL,310.0,364.0,476.0,448.0,268.0,136.0,161.0,304.0,216.0,344.0,649.0,495.0,4171.0,2023
ROMANIA,489.0,549.0,487.0,360.0,170.0,168.0,131.0,211.0,176.0,248.0,540.0,642.0,4171.0,2023
